market,campaign,ad_type,state,spend,sales,orders
US,[US]_B0F45C2YHV_TIRE_SP_PH_tire coat,SP,enabled,1.48,30.9,2.0
US,[US]_B0B94G13CN_RCPAINT_SP_PH_cerakote wax,SP,enabled,1.47,54.64,2.0
US,[US]_B0F45C2YHV_TIRE_SP_BR_tire coat,SP,enabled,1.45,14.95,1.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote ceramic wipes,SP,enabled,1.44,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_interior ceramic coating for cars,SP,paused,1.43,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_platinum rapid ceramic paint sealant,SP,enabled,1.41,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_PT_COMP_B0FF76CQB6_MEGUIARS,SP,enabled,1.33,0.0,0.0
US,[US]_B0CQN1RXYB_GLASS_SP_EX_car_window_polish,SP,enabled,1.3,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_ceracoat ceramic coating,SP,paused,1.3,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_ceramic tire coat,SP,enabled,1.19,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote black plastic restorer,SP,enabled,1.15,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_ceramic interior car cleaner,SP,enabled,1.14,11.63,1.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_ceramic coating for car tires,SP,enabled,1.1,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_cerakote_,SP,enabled,1.1,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote plastic,SP,enabled,1.08,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_ceramic interior detailer,SP,enabled,0.99,11.63,1.0
US,[US]_B0DJMW6283_MICROFIBER_SP_EX_premium microfiber towels for cars,SP,enabled,0.99,0.0,0.0
US,[US]_B0FYRJ1966_PLREST_SP_EX_BRAND_cerakote trim restore,SP,enabled,0.98,26.95,1.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_cerakote car wax,SP,enabled,0.98,19.69,1.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote car products,SP,paused,0.95,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_BD_cerakote rapid ceramic interior detailer,SP,enabled,0.9,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_BRAND_ceracoat tire dressing,SP,enabled,0.9,0.0,0.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_gtechniq c4 permanent trim restorer,SP,enabled,0.85,0.0,0.0
US,[US]_B0FYRJ1966_PLASTICRESTORE_SP_EX_rapid ceramic,SP,enabled,0.78,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_BR_tire cleaner,SP,enabled,0.72,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_rapid ceramic tire coat,SP,enabled,0.71,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cerakota trim coat,SP,enabled,0.62,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_PH_headlight restorer,SP,enabled,0.59,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_ceramic trim coat wipes,SP,enabled,0.52,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_rapid ceramic interior detailer,SP,enabled,0.5,0.0,0.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_BR_cerakote soap,SP,enabled,0.45,15.97,1.0
US,[US]_B0DVV6K9Y6_SOAP32_SP_EX_cerakote car wash soap,SP,enabled,0.45,0.0,0.0
US,[US]_B0CQN1RXYB_GLASS_SP_EX_cerakote glass coating,SP,enabled,0.42,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_BRAND_cerakote ceramic spray,SP,enabled,0.24,0.0,0.0
US,[US]_SBV_BRAND VIDEO_,SB,enabled,0.23,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_cerakote spray wax,SP,enabled,0.12,19.69,1.0
US,[US]_B0FYRJ1966_PLREST_SP_EX_BRAND_cerakote plastic,SP,enabled,0.03,0.0,0.0
US,[US]_B0FYRJ1966_PLREST_SP_EX_BRAND_cerakote ceramic trim coat kit,SP,enabled,0.0,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_rapid ceramic interior detailer and protectant,SP,enabled,0.0,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_auto lens cleaner,SP,enabled,0.0,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_cherokee trim restorer,SP,enabled,0.0,0.0,0.0
US,[US]_B0CQN1RXYB_GLASS_SP_EX_crystal_coating_for_car,SP,enabled,0.0,0.0,0.0
US,[US]_B07SHJVK4G_TRIM_SP_EX_BRAND_cerakote plastic trim restore,SP,enabled,0.0,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_matte interior car detailer,SP,enabled,0.0,0.0,0.0
US,[US]_B0CQN1RXYB_GLASS_SP_EX_BRAND_CERAKOTE_PRO_CERAMIC_COATING,SP,enabled,0.0,0.0,0.0
US,[US]_B0B94G13CN_RCPAINT_SP_EX_BRAND_cerakote platinum rapid ceramic paint sealant,SP,enabled,0.0,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_meguiar's car interior products,SP,enabled,0.0,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_BRAND_cerakote ceramic tire coat,SP,enabled,0.0,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_BRAND_cerakote tire sealant,SP,enabled,0.0,0.0,0.0
US,[US]_B0F45C2YHV_TIRE_SP_EX_ceramic tire coating long-lasting,SP,enabled,0.0,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_BD_cerakote trim coat interior,SP,enabled,0.0,0.0,0.0
US,[US]_B084RQKLV8_HL_SP_EX_auto lens restoration kit,SP,enabled,0.0,0.0,0.0
US,[US]_B0DKVZRX69_INTERIOR_SP_EX_cerakote interior detailer,SP,enabled,0.0,0.0,0.0
